relation,from_type,from_name,to_type,to_name,risk_level,evidence
典型症状,Disease,高血压,Symptom,头晕,medium,血压升高时常见
典型症状,Disease,高血压,Symptom,头痛,medium,血压升高时常见
典型症状,Disease,高血压,Symptom,心悸,medium,血压升高时常见
典型症状,Disease,高血压,Symptom,耳鸣,low,部分患者出现
典型症状,Disease,高血压,Symptom,失眠,low,与情绪和血压波动相关
典型症状,Disease,高血压,Symptom,视力模糊,high,可能提示血压急剧升高
典型症状,Disease,高血压,Symptom,乏力,low,非特异性症状
典型症状,Disease,高血压,Symptom,颈部僵硬,low,部分患者出现
典型症状,Disease,高血压,Symptom,鼻出血,low,个别患者出现
典型症状,Disease,糖尿病,Symptom,视力模糊,medium,长期高血糖损伤眼底血管
典型症状,Disease,糖尿病,Symptom,乏力,low,能量利用障碍
典型症状,Disease,冠心病,Symptom,胸闷,high,心肌缺血表现
典型症状,Disease,冠心病,Symptom,心悸,medium,心律失常可能
典型症状,Disease,冠心病,Symptom,乏力,low,心功能下降
典型症状,Disease,高脂血症,Symptom,头晕,low,血液黏稠度升高
典型症状,Disease,高脂血症,Symptom,乏力,low,非特异性症状
典型症状,Disease,动脉粥样硬化,Symptom,头晕,medium,脑供血不足
典型症状,Disease,动脉粥样硬化,Symptom,胸闷,medium,冠脉受累表现
推荐食物,Disease,高血压,Food,芹菜,medium,富含钾帮助钠排出
推荐食物,Disease,高血压,Food,香蕉,medium,富钾水果
推荐食物,Disease,高血压,Food,苹果,low,膳食纤维丰富
推荐食物,Disease,高血压,Food,燕麦,medium,β-葡聚糖有助血脂管理
推荐食物,Disease,高血压,Food,深海鱼,medium,不饱和脂肪酸有益心血管
推荐食物,Disease,高血压,Food,洋葱,low,含槲皮素等活性物质
推荐食物,Disease,高血压,Food,木耳,low,木耳多糖有益健康
推荐食物,Disease,高血压,Food,菠菜,medium,富钾且含叶酸
推荐食物,Disease,糖尿病,Food,燕麦,medium,低升糖全谷物
推荐食物,Disease,糖尿病,Food,芹菜,low,低热量高纤维
推荐食物,Disease,糖尿病,Food,深海鱼,medium,优质蛋白不升糖
推荐食物,Disease,糖尿病,Food,菠菜,low,低升糖绿叶菜
推荐食物,Disease,糖尿病,Food,苹果,low,适量食用升糖平缓
推荐食物,Disease,高脂血症,Food,燕麦,medium,可溶性纤维降脂
推荐食物,Disease,高脂血症,Food,深海鱼,high,富含ω-3脂肪酸
推荐食物,Disease,高脂血症,Food,木耳,medium,有助调节血脂
推荐食物,Disease,高脂血症,Food,洋葱,medium,有助调节血脂
推荐食物,Disease,高脂血症,Food,大蒜,low,大蒜素有助降脂
推荐食物,Disease,冠心病,Food,燕麦,medium,有助控制血脂
推荐食物,Disease,冠心病,Food,深海鱼,high,有益心脏健康
推荐食物,Disease,冠心病,Food,洋葱,low,抗氧化物丰富
推荐食物,Disease,冠心病,Food,木耳,medium,有助血液健康
推荐食物,Disease,动脉粥样硬化,Food,燕麦,medium,延缓动脉粥样硬化进展
推荐食物,Disease,动脉粥样硬化,Food,深海鱼,high,保护血管内皮
推荐食物,Disease,动脉粥样硬化,Food,芹菜,low,富钾助血压管理
禁忌食物,Disease,高血压,Food,咸菜,high,高钠导致水钠潴留升高血压
禁忌食物,Disease,高血压,Food,腊肉,high,高盐高脂双重风险
禁忌食物,Disease,高血压,Food,肥肉,medium,高饱和脂肪增加心血管负担
禁忌食物,Disease,高血压,Food,动物内脏,medium,高胆固醇
禁忌食物,Disease,高血压,Food,咸鸭蛋,high,高盐高脂
禁忌食物,Disease,糖尿病,Food,腊肉,medium,高脂影响代谢
禁忌食物,Disease,糖尿病,Food,咸鸭蛋,medium,高盐高脂
禁忌食物,Disease,糖尿病,Food,肥肉,medium,高饱和脂肪
禁忌食物,Disease,高脂血症,Food,肥肉,high,高饱和脂肪直接升高血脂
禁忌食物,Disease,高脂血症,Food,动物内脏,high,高胆固醇
禁忌食物,Disease,高脂血症,Food,咸鸭蛋,high,高脂高盐
禁忌食物,Disease,高脂血症,Food,腊肉,high,高脂高盐
禁忌食物,Disease,冠心病,Food,肥肉,high,加重冠脉粥样硬化
禁忌食物,Disease,冠心病,Food,动物内脏,high,高胆固醇加重斑块
禁忌食物,Disease,冠心病,Food,咸菜,high,高钠增加心脏负荷
禁忌食物,Disease,动脉粥样硬化,Food,肥肉,high,加速斑块形成
禁忌食物,Disease,动脉粥样硬化,Food,动物内脏,high,高胆固醇加速斑块
禁忌食物,Disease,动脉粥样硬化,Food,咸鸭蛋,high,高脂高盐加速病变
推荐运动,Disease,高血压,Exercise,快走,medium,规律有氧有助降压
推荐运动,Disease,高血压,Exercise,游泳,medium,全身有氧温和
推荐运动,Disease,高血压,Exercise,太极拳,medium,舒缓运动有助放松
推荐运动,Disease,高血压,Exercise,散步,low,低强度安全
推荐运动,Disease,糖尿病,Exercise,快走,medium,有助血糖控制
推荐运动,Disease,糖尿病,Exercise,游泳,medium,全身有氧
推荐运动,Disease,糖尿病,Exercise,散步,low,低强度安全
推荐运动,Disease,高脂血症,Exercise,快走,medium,有氧运动有助降脂
推荐运动,Disease,高脂血症,Exercise,游泳,medium,全身有氧
推荐运动,Disease,高脂血症,Exercise,太极拳,low,温和运动有助代谢
推荐运动,Disease,冠心病,Exercise,散步,medium,低强度心脏康复
推荐运动,Disease,冠心病,Exercise,太极拳,medium,舒缓有氧
推荐运动,Disease,冠心病,Exercise,瑜伽,low,舒缓身心
推荐运动,Disease,肥胖症,Exercise,快走,medium,有助能量消耗
推荐运动,Disease,肥胖症,Exercise,游泳,medium,关节负担小
禁忌运动,Disease,高血压,Exercise,举重,high,憋气发力使血压骤升
禁忌运动,Disease,高血压,Exercise,剧烈跑跳,high,高强度使血压骤升
禁忌运动,Disease,冠心病,Exercise,举重,high,诱发心肌缺血
禁忌运动,Disease,冠心病,Exercise,剧烈跑跳,high,诱发心绞痛
禁忌运动,Disease,动脉粥样硬化,Exercise,举重,medium,增加血管负荷
关联疾病,Symptom,头晕,Disease,高血压,medium,头晕常见于血压波动
关联疾病,Symptom,头痛,Disease,高血压,medium,头痛与血压升高相关
关联疾病,Symptom,心悸,Disease,高血压,medium,血压升高可致心悸
关联疾病,Symptom,耳鸣,Disease,高血压,low,可能与血压升高相关
关联疾病,Symptom,视力模糊,Disease,高血压,high,提示高血压急症可能
关联疾病,Symptom,胸闷,Disease,冠心病,high,心肌缺血典型表现
关联疾病,Symptom,乏力,Disease,高血压,low,血压管理不佳时的感受
关联疾病,Symptom,失眠,Disease,高血压,medium,睡眠差影响血压稳定
关联疾病,Symptom,颈部僵硬,Disease,高血压,low,可能与血压升高相关
关联疾病,Symptom,焦虑,Disease,高血压,medium,情绪波动影响血压
关联疾病,Symptom,下肢水肿,Disease,高血压,medium,提示心肾功能受累可能
收治疾病,Department,心内科,Disease,高血压,medium,高血压常规管理科室
收治疾病,Department,心内科,Disease,冠心病,medium,冠心病诊治科室
收治疾病,Department,心内科,Disease,高脂血症,medium,血脂管理科室
收治疾病,Department,心内科,Disease,动脉粥样硬化,medium,动脉硬化评估科室
收治疾病,Department,神经内科,Disease,高血压,medium,脑血管并发症诊治
收治疾病,Department,内分泌科,Disease,糖尿病,medium,糖尿病管理科室
收治疾病,Department,肾内科,Disease,高血压,medium,高血压肾损害管理
收治疾病,Department,肾内科,Disease,糖尿病,medium,糖尿病肾病管理
收治疾病,Department,老年科,Disease,高血压,medium,老年综合管理
收治疾病,Department,老年科,Disease,糖尿病,medium,老年综合管理
收治疾病,Department,老年科,Disease,冠心病,medium,老年综合管理
收治疾病,Department,老年科,Disease,高脂血症,medium,老年综合管理
诊断疾病,Exam,血压测量,Disease,高血压,high,血压测量是诊断依据
诊断疾病,Exam,心电图,Disease,高血压,medium,评估心脏受累
诊断疾病,Exam,心电图,Disease,冠心病,high,心肌缺血检查
诊断疾病,Exam,心脏彩超,Disease,冠心病,medium,评估心脏结构与功能
诊断疾病,Exam,眼底检查,Disease,高血压,medium,观察眼底血管损害
诊断疾病,Exam,眼底检查,Disease,糖尿病,medium,观察糖尿病视网膜病变
诊断疾病,Exam,肾功能检查,Disease,高血压,medium,评估高血压肾损害
诊断疾病,Exam,肾功能检查,Disease,糖尿病,medium,评估糖尿病肾病
