type,name,icd10,description,sodium_per_100g
Disease,高血压,I10,以体循环动脉血压增高为主要特征的慢性疾病,
Disease,原发性高血压,I10,无明确继发原因的高血压,占高血压人群绝大多数
Disease,继发性高血压,I15,由肾脏疾病等明确病因导致的血压升高,
Disease,糖尿病,E11,以慢性高血糖为特征的代谢性疾病,
Disease,高脂血症,E78,血脂水平异常升高的代谢性疾病,
Disease,冠心病,I25,冠状动脉粥样硬化导致心肌缺血的心脏疾病,
Disease,动脉粥样硬化,I70,动脉壁脂质沉积形成的慢性病变,
Disease,肥胖症,E66,体内脂肪过度蓄积的代谢性疾病,
Symptom,头晕,,头部昏沉或视物旋转感,
Symptom,头痛,,头部疼痛不适,
Symptom,心悸,,自觉心跳加快或不规律,
Symptom,耳鸣,,耳内出现异常声响,
Symptom,失眠,,入睡困难或睡眠维持障碍,
Symptom,视力模糊,,视物不清或眼前发花,
Symptom,胸闷,,胸部闷胀压迫感,
Symptom,乏力,,自觉疲乏无力,
Symptom,颈部僵硬,,颈部肌肉紧张不适,
Symptom,鼻出血,,鼻腔出血,
Symptom,下肢水肿,,下肢肿胀按压有凹陷,
Symptom,焦虑,,过度担忧不安的情绪状态,
Food,芹菜,,富含钾和膳食纤维的蔬菜,160
Food,香蕉,,富含钾的水果,1
Food,苹果,,富含膳食纤维和果胶的水果,1
Food,燕麦,,富含β-葡聚糖的全谷物,4
Food,深海鱼,,富含不饱和脂肪酸的鱼类,50
Food,洋葱,,含槲皮素等活性物质的蔬菜,4
Food,大蒜,,含大蒜素的调味蔬菜,20
Food,木耳,,含木耳多糖的食用菌,48
Food,菠菜,,富含叶酸和钾的绿叶蔬菜,85
Food,牛奶,,富含钙和蛋白质的饮品,37
Food,咸菜,,高盐腌制蔬菜,2000
Food,腊肉,,高盐高脂腌制肉类,1200
Food,肥肉,,高饱和脂肪的肉类,40
Food,动物内脏,,高胆固醇食物,150
Food,咸鸭蛋,,高盐高脂蛋制品,1600
Exercise,快走,,中等强度的有氧运动,
Exercise,游泳,,全身性的温和有氧运动,
Exercise,太极拳,,舒缓的全身性传统运动,
Exercise,散步,,低强度有氧运动,
Exercise,瑜伽,,身心结合的舒缓运动,
Exercise,慢跑,,中等强度有氧运动,
Exercise,举重,,高强度力量训练,
Exercise,剧烈跑跳,,高强度爆发性运动,
Exam,血压测量,,用血压计测量动脉血压的检查,
Exam,心电图,,记录心脏电活动的检查,
Exam,心脏彩超,,超声评估心脏结构与功能的检查,
Exam,眼底检查,,观察眼底血管状态的检查,
Exam,血常规,,检查血液细胞成分的常规化验,
Exam,肾功能检查,,评估肾脏功能的化验,
Department,心内科,,诊治心血管疾病的科室,
Department,神经内科,,诊治神经系统疾病的科室,
Department,内分泌科,,诊治内分泌与代谢疾病的科室,
Department,肾内科,,诊治肾脏疾病的科室,
Department,老年科,,综合管理老年疾病的科室,
